Name,Ticker,Exchange,BE - Monthly 2004-12,Daily Closing Price 2004-12-31 USD,Market Cap - Monthly 2004-12 ,C/P - Daily 2004-12-31,E/P - Daily 2004-12-31,EBITDA/P- Daily 2004-12-31,FCF/P - Daily 2004-12-31,S/P - Daily 2004-12-31,Yearly Return Year  2005
"Ingram Micro, Inc.",IM,"NEW YORK STOCK EXCHANGE, INC.",2240807461,20.80,3241674446,0.123014908,0.057211544,0.078076385,0.111964668,7.564754297,-0.041826931
Inland Real Estate Corporation,IRC,"NEW YORK STOCK EXCHANGE, INC.",452489198.1,15.95,1068407974,0.082191488,0.038871468,0.103179593,0.002669708,0.175099027,-0.013285421
Inland Real Estate Corporation Pref Share,IRCPRA,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Innkeepers USA Trust,KPA,"NEW YORK STOCK EXCHANGE, INC.",283893024.7,14.20,539078235,0.12864339,-0.014084507,0.120786411,-0.042999785,0.350613187,0.161425227
Inphi Corp,IPHI,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"Insperity, Inc.",NSP,"NEW YORK STOCK EXCHANGE, INC.",126528417.1,12.61,320914626,0.196184948,0.071371933,0.172632024,0.178058208,2.738848095,2.371664643
Insurance - Diversified,IG001DA072,"NEW YORK STOCK EXCHANGE, INC.",1.88345E+11,401.60,1.49016E+11,,,,,,0.128758374
Insurance - Life,IG001DA073,"NEW YORK STOCK EXCHANGE, INC.",1.42857E+11,319.56,2.41747E+11,,,,,,0.230672573
Insurance - Property & Casualty,IG001DA074,"NEW YORK STOCK EXCHANGE, INC.",1.33623E+11,345.82,1.85493E+11,0.024520249,,0.013185863,,0.097460282,0.188150836
Insurance - Reinsurance,IG001DA075,"NEW YORK STOCK EXCHANGE, INC.",1.14924E+11,118.60,2.9692E+11,,,,,,0.006725342
Insurance - Specialty,IG001DA076,"NEW YORK STOCK EXCHANGE, INC.",25851128180,225.01,22493493027,,,,,,0.017139389
Insurance Brokers,IG001DA077,"NEW YORK STOCK EXCHANGE, INC.",13517481947,145.42,38929313603,,,,,,0.126489804
Integrated Shipping & Logistics,IG001DA078,"NEW YORK STOCK EXCHANGE, INC.",29376730325,237.90,1.42812E+11,,,,,,-0.022121223
Integrys Energy Group Inc,TEG,"NEW YORK STOCK EXCHANGE, INC.",1091800850,49.96,1867840880,0.11175382,0.073458762,0.157852922,-0.026272709,2.4569602,0.153205512
Interactive Data Corp,IDC,"NEW YORK STOCK EXCHANGE, INC.",857752002.5,21.74,2023364387,0.052234678,0.037258504,0.078042994,0.037245987,0.23165372,0.084834757
Intercontinental Hotels Group PLC ADR,IHG,"NEW YORK STOCK EXCHANGE, INC.",3790008867,17.18,7849876616,,0.119749666,,,,0.171529473
"IntercontinentalExchange, Inc.",ICE,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,0.125387
Interline Brands Inc,IBI,"NEW YORK STOCK EXCHANGE, INC.",,17.59,219875000,,-0.342240016,0.890897963,,7.459346561,0.293348807
"Intermec, Inc.",IN,"NEW YORK STOCK EXCHANGE, INC.",411233268.6,25.29,1539226155,-0.014581013,0.01225781,0.04218352,-0.024473741,0.790779511,0.336496603
International Aluminum,IAL,"NEW YORK STOCK EXCHANGE, INC.",115561969.8,33.85,143686276,0.045891874,0.055834573,0.089276388,0.021584296,1.537888971,0.229966072
International Business Machines Corp,IBM,"NEW YORK STOCK EXCHANGE, INC.",29746974605,98.58,1.64106E+11,0.094407578,0.047677009,0.062581082,0.069689616,0.557993989,-0.158359384
